Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Registration,Eligibility,Dispute Resolution,Compliance Review,Monitoring
Ficohsa-01/ CAO Vice President Request,Ficohsa-01/ CAO Vice President Request,Honduras,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,209,Monitoring,CAO Vice President,"Equity Investment, Project/investment lending",Other,Due diligence,,8/21/13,,,,12/4/13
Ficohsa-02/Tela,Ficohsa-02/Tela,Honduras,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,243,Active,Organizacion Fraternal Negra Hondurena,"Equity Investment, Financial intermediary",Other,"Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Livelihoods, Other environmental",,10/9/15,,12/15/17,,
Fier Bypass,Fier Bypass,Albania,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2014/06,Active,Unknown,Project/investment lending,Infrastructure,Displacement (physical and/or economic),,6/17/14,,7/2/14,,
Financial Intermediaries-01/CAO Vice President Request,Financial Intermediaries-01/CAO Vice President Request,World,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Monitoring,CAO Vice President,Financial intermediary,Other,"Consultation and disclosure, Due diligence",,4/1/11,,,,
Financial Intermediary (FI)-01,Financial Intermediary (FI)-01,Honduras,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,231,Closed Without Results,Movimiento Autentico Reivindicador Campesino del Aguan,Project/investment lending,"Agribusiness, Other","Displacement (physical and/or economic), Human rights, Pollution, Violence against the community (by gov't and/or company)",,7/25/14,,10/14/17,,
Financing of Hydroelectric Dams in the Bio Bio River (not registered),Financing of Hydroelectric Dams in the Bio Bio River (not registered),Chile,World Bank Inspection Panel (WB Panel),World Bank,5,Closed Without Results,Grupo de Accion por el BioBio,,Energy,"Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other environmental",,11/17/95,,,,
"First Quantum Minerals: Mauritania Copper Mines (""MCM"") project","First Quantum Minerals: Mauritania Copper Mines (""MCM"") project (2011-02-MAU)",Mauritania,Canadian Office of the Extractive Sector Corporate Social Responsibility Counsellor (COES CSR),Canadian Office of the Extractive Sector,2011-02-MAU,Closed With Results Outside Process,Unknown,,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Labor, Pollution, Water",,8/14/11,8/14/11,8/19/11,8/1/11,
Flexenclosure,Flexenclosure,Sweden,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,7/1/13,,,,
Flood Emergency Reconstruction Project,Flood Emergency Reconstruction Project,Pakistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,8,Closed Without Results,Institution of Physiotherapy and Rehabilitation Sciences,Project/investment lending,Infrastructure,Other,,11/21/13,11/22/13,,,
Floods Emergency Recovery Project (P152018),Floods Emergency Recovery Project (P152018),Serbia,World Bank Inspection Panel (WB Panel),World Bank,104,Closed Without Results,"CEE Bankwatch, Center for Ecology and Sustainable Development (CEKOR)",Project/investment lending,"Conservation and environmental protection, Extractives (oil, gas, mining)","Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental, Pollution, Water",,9/8/15,,,,
Forest Concession Management and Control Pilot Project,Forest Concession Management and Control Pilot Project,Cambodia,World Bank Inspection Panel (WB Panel),World Bank,36,Closed With Results,NGO Forum on Cambodia,Project/investment lending,"Forestry, Regulatory Development","Consultation and disclosure, Cultural heritage, Due diligence, Human rights, Indigenous peoples, Livelihoods, Other environmental",,1/28/05,2/4/05,3/30/05,,3/30/05
Fuzhou Environmental Improvement Project,Fuzhou Environmental Improvement Project,China,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed With Results,Unknown,Project/investment lending,"Conservation and environmental protection, Infrastructure","Displacement (physical and/or economic), Livelihoods",,1/15/09,1/19/09,2/12/09,3/23/09,7/15/09
GAC-01,GAC-01,MENA region,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,9/1/12,,,,
GAL,GAL,Middle East,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,5/1/07,,,,
GEF Streetlight,GEF Streetlight,Argentina,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,7/1/06,,,,
GEORGIA - Jvari-Khorga Interconnection,GEORGIA - Jvari-Khorga Interconnection,Georgia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,,Active,Unknown,,Energy,Other,"<p>
<i>
Full description available at: <a href = ""http://www.ebrd.com/work-with-us/projects/psd/georgia---jvari-khorga-interconnection.html"" class = ""u-blue-color""> http://www.ebrd.com/work-with-us/projects/psd/georgia---jvari-khorga-interconnection.html </a>
</i>
</p>
<br>
<p>
The EBRD is considering a project to include the construction of (i) a new 500kV/220kV substation at Jvari, (ii) a double circuit 500 kV (8 km) transmission line from the Kavkasioni line to the Jvari substation and (iii) a double circuit 220 kV (60 km) transmission line between Jvari and Khorga.
</p>
<br>
<p>
The implementation of this project will
</p>
<br>
<p>
(i) Strengthen the reliability and stability of the Georgian transmission network;
</p>
<br>
<p>
(ii) Pave the way for investments in more hydropower production in northwest Georgia; and
</p>
<br>
<p>
(iii) Improve capacity and reliability of the electricity system supplying areas of significant demand growth.
</p>",,,,,
GMS Mekong Tourism Development Project,GMS Mekong Tourism Development Project,Vietnam,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,"Community capacity and development, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Livelihoods",,12/13/06,1/9/07,,,
GMS Rehabilitation of the Railway in Cambodia Project,GMS Rehabilitation of the Railway in Cambodia Project,Cambodia,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,Infrastructure,Procurement,,7/25/13,7/26/13,,,
Gazela Bridge,Gazela Bridge,Serbia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2009/02,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Other",,3/19/09,,,,5/8/09
Gazela Bridge Rehabilitation,Gazela Bridge Rehabilitation,Serbia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2009/07,Closed Without Results,"CEE Bankwatch, Center for Ecology and Sustainable Development (CEKOR)",Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence",,9/28/09,10/12/09,12/1/09,,12/1/09
Gemax & Lemna,Gemax & Lemna,Serbia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,No IFI involvement,,,,3/1/09,,,,
Gender Discrimination,Gender Discrimination,Southeast Asia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,5/1/06,,,,
Georgetown Solid Waste Management Program,Georgetown Solid Waste Management Program,Guyana,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-GY-2013-074,Closed Without Results,,,,Other,,12/1/13,,,,
Giavoni,Giavoni,Tajikistan,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,7/1/10,,,,
Gibe III Hydroelectric Power Project,Gibe III Hydroelectric Power Project,Ethiopia,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,RQ 2009/1,Closed Without Results,Friends of Lake Turkana (FoLT),Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Livelihoods, Other environmental, Water",,3/5/09,3/26/09,,10/6/09,
Gibe III Hydropower Project,Gibe III Hydropower Project,Ethiopia,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,RQ 2009/1b,Closed Without Results,"Anuak Justice Council, Bank Information Center (BIC), Campagna per la Riforma della Banca Mondiale, International Rivers",Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Indigenous peoples, Livelihoods, Other retaliation (actual or feared)",,5/5/09,7/22/09,,,
Gilgel Gibe 3,Gilgel Gibe 3,Ethiopia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,,Closed With Results,Campagna per la Riforma della Banca Mondiale (CRBM),Project/investment lending,Energy,"Consultation and disclosure, Other environmental",,6/8/10,6/22/10,,,2/14/11
Gilgel Gibe III Dam,Gilgel Gibe III Dam,Ethiopia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2009/01,Closed Without Results,Friends of Lake Turkana (FoLT),No IFI involvement,Energy,"Other, Other environmental",,3/4/09,,,,
Gipuzkoa Waste Management Project,Gipuzkoa waste Management Project,Spain,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/05,Closed Without Results,Greenpeace Spain,Project/investment lending,Infrastructure,"Due diligence, Other environmental",,7/6/10,,,,
Giza North Power Project,Giza North Power Project,Egypt,World Bank Inspection Panel (WB Panel),World Bank,85,Closed With Results Outside Process,Egyptian Association for Collective Rights,Project/investment lending,Energy,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution, Water",,2/21/13,4/4/13,6/10/13,,
Global CyberSoft,Global CyberSoft,Vietnam,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,4/1/11,,,,
Globalbix,Globalbix,Brazil,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,8/1/07,,,,
Golden Arrow Resources Corporation: Chinchillas silver project,Golden Arrow Resources Corporation: Chinchillas silver project (2013-06-ARG),Argentina,Canadian Office of the Extractive Sector Corporate Social Responsibility Counsellor (COES CSR),Canadian Office of the Extractive Sector,2013-06-ARG,Closed Without Results,,,"Extractives (oil, gas, mining)","Consultation and disclosure, Indigenous peoples",,7/9/13,7/9/13,7/12/13,,
Governance Promotion Adjustment Loan,Governance Promotion Adjustment Loan,Papua New Guinea,World Bank Inspection Panel (WB Panel),World Bank,25,Closed Without Results,Center for Environmental Law and Community Rights (CELCOR),Project/investment lending,Regulatory Development,"Other, Other environmental",,12/6/01,12/7/01,,,
Greater Beirut Water Supply Project,Greater Beirut Water Supply Project,Lebanon,World Bank Inspection Panel (WB Panel),World Bank,71,Closed With Results Outside Process,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Pollution, Water",,11/4/10,11/10/10,3/8/11,,
Greater Mekong Subregion Southern Economic Corridor Towns Development Project,Greater Mekong Subregion Southern Economic Corridor Towns Development Project,Cambodia,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,13,Closed Without Results,,Project/investment lending,Infrastructure,Procurement,,11/20/15,11/23/15,,,
